"targetName","kernelName","language","answer","guess","isCorrect"
"grep-cuda","parallelMatch(char *, const unsigned int *, int, char *, const unsigned int *, unsigned char *, State *)","CUDA","Bandwidth","Compute",False
"b+tree-cuda","findK(long, const knode *, long, const record *, long *, long *, const int *, record *)","CUDA","Bandwidth","Compute",False
"b+tree-cuda","findRangeK(long, const knode *, long, long *, long *, long *, long *, const int *, const int *, int *, int *)","CUDA","Bandwidth","Compute",False
"lanczos-omp","__omp_offloading_10309_2fc35fb__Z18device_dot_productIdET_iPKS0_S2__l54","OMP","Bandwidth","Compute",False
"lanczos-omp","__omp_offloading_10309_2fc35fb__Z20saxpy_inplace_kernelIdEviPT_PKS0_S0__l42","OMP","Bandwidth","Compute",False
"lanczos-omp","__omp_offloading_10309_2fc35fb__Z23multiply_inplace_kernelIdEviPT_S0__l25","OMP","Bandwidth","Compute",False
"lanczos-omp","__omp_offloading_10309_2fc35fb__Z11gpu_lanczosIdE19symm_tridiag_matrixIT_ERK10csr_matrixIS1_ERKSt6vectorIS1_SaIS1_EEi_l113","OMP","Bandwidth","Compute",False
"minimap2-omp","__omp_offloading_10309_2fc5138__Z27device_chain_kernel_wrapperRSt6vectorI10control_dtSaIS0_EERS_I9anchor_dtSaIS4_EERS_I9return_dtSaIS8_EEiii_l96","OMP","Bandwidth","Bandwidth",True
"pnpoly-cuda","pnpoly_base(int *, const float2 *, const float2 *, int)","CUDA","Compute","Bandwidth",False
"pnpoly-cuda","void pnpoly_opt<1>(int *, const float2 *, const float2 *, int)","CUDA","Compute","Compute",True
"tqs-omp","__omp_offloading_10309_2fc605e__Z18call_TaskQueue_gpuiiPK6task_tPiS2_iii_l47","OMP","Bandwidth","Bandwidth",True
"unfold-cuda","void unfold_backward_elementwise_kernel<64, 4, void unfold_backward_internal_kernel<int>(T1 *, const T1 *, const long *, long, long, long, long, long, long)::[lambda(int) (instance 1)]>(int, T3)","CUDA","Bandwidth","Bandwidth",True
"aes-omp","__omp_offloading_10309_2f041b2__Z10AESEncryptP6uchar4PKS_S2_PKhjjj_l109","OMP","Bandwidth","Compute",False
"jaccard-cuda","void jaccard_is<1, float>(int, int, const int *, const int *, const T2 *, const T2 *, T2 *, T2 *)","CUDA","Bandwidth","Bandwidth",True
"jaccard-cuda","void jaccard_jw<1, float>(int, const T2 *, T2, const T2 *, const T2 *, T2 *)","CUDA","Bandwidth","Bandwidth",True
"jaccard-cuda","void fill<1, float>(int, T2 *, T2)","CUDA","Bandwidth","Bandwidth",True
"jaccard-cuda","void fill<0, float>(int, T2 *, T2)","CUDA","Bandwidth","Bandwidth",True
"jaccard-cuda","void jaccard_row_sum<1, float>(int, const int *, const int *, const T2 *, T2 *)","CUDA","Bandwidth","Bandwidth",True
"hausdorff-omp","__omp_offloading_10309_2f28495__Z15computeDistancePK6float2S1_Pfii_l21","OMP","Compute","Bandwidth",False
"libor-cuda","Pathcalc_Portfolio_KernelGPU2(float *, const float *, const int *, const float *, float, int, int, int)","CUDA","Bandwidth","Compute",False
"black-scholes-omp","__omp_offloading_10309_2f04554__Z29runBlackScholesAnalyticEnginei_l237","OMP","Bandwidth","Compute",False
"warpexchange-cuda","void k<256, 1024>(const int *, int *, int)","CUDA","Bandwidth","Bandwidth",True
"nms-cuda","reduce_nms_bitmap(unsigned char *, unsigned char *, int)","CUDA","Bandwidth","Bandwidth",True
"nms-cuda","generate_nms_bitmap(const float4 *, unsigned char *, float)","CUDA","Bandwidth","Bandwidth",True
"jenkins-hash-cuda","kernel(const unsigned int *, const unsigned int *, const unsigned int *, unsigned int *, int)","CUDA","Bandwidth","Bandwidth",True
"kalman-omp","__omp_offloading_10309_2fc3525__Z6kalmanILi8EEvPKdiS1_S1_S1_S1_S1_bS1_iPdS2_S2_iiS2_bS2__l113","OMP","Bandwidth","Compute",False
"adv-cuda","advCubatureHex3D(int, const float *, const float *, const float *, const float *, int, const float *, float *)","CUDA","Bandwidth","Compute",False
"ntt-omp","__omp_offloading_10309_2fc53ed__Z17intt_3_64k_modcrtjPjPKm_l16","OMP","Bandwidth","Compute",False
"grep-omp","__omp_offloading_10309_2f26c54_main_l171","OMP","Bandwidth","Compute",False
"d2q9-bgk-omp","__omp_offloading_10309_2f060ef_main_l245","OMP","Bandwidth","Compute",False
"su3-omp","__omp_offloading_10309_2fc5f1b__Z10su3_mat_nnRSt6vectorI4siteSaIS0_EERS_I11dsu3_matrixSaIS4_EES3_mmmi_l41","OMP","Bandwidth","Compute",False
"atomicCost-cuda","void wiAtomicOnGlobalMem<double>(T1 *, int)","CUDA","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c6__Z10bucketSortPfS_iPiS0_ffPj_l4","OMP","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c7__Z12runMergeSortiiP6float4S0_PiS1_Pj_l1","OMP","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c4__Z10bucketSortPfS_iPiS0_ffPj_l1","OMP","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c3__Z10bucketSortPfS_iPiS0_ffPj_l1","OMP","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c8__Z12runMergeSortiiP6float4S0_PiS1_Pj_l133","OMP","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c8__Z12runMergeSortiiP6float4S0_PiS1_Pj_l211","OMP","Bandwidth","Bandwidth",True
"hybridsort-omp","__omp_offloading_10309_2fc33c3__Z10bucketSortPfS_iPiS0_ffPj_l1","OMP","Bandwidth","Bandwidth",True
"flame-cuda","kernel_generate_points(float3 *, short2 *, short *, const unsigned short *, int, const float *, ConstMemParams)","CUDA","Bandwidth","Compute",False
"flame-cuda","kernel_initialize(short2 *, short *, const unsigned short *, int, float2 *, const float *, ConstMemParams)","CUDA","Bandwidth","Bandwidth",True
"flame-cuda","kernel_iterate(short2 *, short *, const unsigned short *, int, const float *, ConstMemParams)","CUDA","Bandwidth","Bandwidth",True
"atan2-cuda","compute_s(int, const float *, const float *, short *)","CUDA","Bandwidth","Compute",False
"atan2-cuda","compute_f(int, const float *, const float *, float *)","CUDA","Bandwidth","Compute",False
"atan2-cuda","compute_i(int, const float *, const float *, int *)","CUDA","Bandwidth","Compute",False
"spm-omp","__omp_offloading_10309_2fc5d69__Z3spmPKfiPKhS2_4int3S3_PhS4_Pb_l77","OMP","Bandwidth","Compute",False
"minimod-cuda","target_inner_3d_kernel(long long, long long, long long, int, int, int, long long, long long, long long, long long, long long, long long, long long, long long, long long, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, const float *, float *, const float *, const float *, const float *)","CUDA","Bandwidth","Compute",False
"minimod-cuda","kernel_add_source_kernel(float *, long long, float)","CUDA","Bandwidth","Bandwidth",True
"minimod-cuda","kernel_add_source_kernel(float *, long long, float)","CUDA","Bandwidth","Bandwidth",True
"minimod-cuda","target_pml_3d_kernel(long long, long long, long long, int, int, int, long long, long long, long long, long long, long long, long long, long long, long long, long long, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, const float *, float *, const float *, float *, const float *)","CUDA","Bandwidth","Compute",False
"pathfinder-cuda","pathfinder(const int *, const int *, int *, int *, int, int, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"reverse-cuda","reverse(int *, int)","CUDA","Bandwidth","Bandwidth",True
"lr-omp","__omp_offloading_10309_2fc49b1__Z8rsquarediPK6float2fS_PS__l63","OMP","Bandwidth","Compute",False
"lr-omp","__omp_offloading_10309_2fc49b1__Z17linear_regressioniPK6float2P6float4_l20","OMP","Bandwidth","Compute",False
"scel-cuda","SigmoidCrossEntropyWithLogitsKernel(int, bool, bool, const float *, const float *, float *)","CUDA","Bandwidth","Compute",False
"medianfilter-omp","__omp_offloading_10309_2fc4bdf__Z15MedianFilterGPUP6uchar4Pjii_l141","OMP","Bandwidth","Bandwidth",True
"minibude-omp","__omp_offloading_10309_2fc5107__Z11fasten_mainmimmmmPK4AtomS1_PKfS3_S3_S3_S3_S3_PK8FFParamsPf_l40","OMP","Compute","Compute",True
"keogh-cuda","lb_keogh(const float *, const float *, const float *, float *, const float *, const float *, int, int)","CUDA","Compute","Bandwidth",False
"background-subtract-cuda","findMovingPixels(unsigned long, const unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *)","CUDA","Bandwidth","Bandwidth",True
"background-subtract-cuda","updateThreshold(unsigned long, const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *)","CUDA","Bandwidth","Bandwidth",True
"background-subtract-cuda","updateBackground(unsigned long, const unsigned char *, const unsigned char *, unsigned char *)","CUDA","Bandwidth","Bandwidth",True
"cross-cuda","void cross3_kernel<float>(int, T1 *, const T1 *, const T1 *)","CUDA","Bandwidth","Compute",False
"cross-cuda","void cross_kernel<float, int>(int, T1 *, const T1 *, const T1 *, T2, T2, T2)","CUDA","Bandwidth","Compute",False
"cross-cuda","void cross2_kernel<float, int>(int, T1 *, const T1 *, const T1 *, T2, T2, T2)","CUDA","Bandwidth","Compute",False
"collision-cuda","checkDuplicates(int, const int *)","CUDA","Bandwidth","Bandwidth",True
"collision-cuda","checkDuplicateMask(int, const int *)","CUDA","Bandwidth","Bandwidth",True
"swish-omp","__omp_offloading_10309_2fc5f98__Z11SwishKernelIfEviPKT_PS0__l13","OMP","Bandwidth","Compute",False
"swish-omp","__omp_offloading_10309_2fc5f98__Z19SwishGradientKernelIfEviPKT_S2_S2_PS0__l27","OMP","Bandwidth","Compute",False
"divergence-omp","__omp_offloading_10309_2f06b06__Z21divergence_sphere_gpuILi4EdEvPKT0_RK10derivativeIXT_ES0_ERK7elementIXT_ES0_EPS0__l77","OMP","Bandwidth","Bandwidth",True
"divergence-omp","__omp_offloading_10309_2f06b06__Z21divergence_sphere_gpuILi4EdEvPKT0_RK10derivativeIXT_ES0_ERK7elementIXT_ES0_EPS0__l77","OMP","Bandwidth","Bandwidth",True
"convolution3D-omp","__omp_offloading_10309_2f0566f__Z6conv3DIfEviiiiiii_l84","OMP","Compute","Compute",True
"matrix-rotate-omp","__omp_offloading_10309_2fc4af4__Z22rotate_matrix_parallelPfii_l13","OMP","Bandwidth","Bandwidth",True
"zoom-cuda","zoom_in_kernel(const float *, float *, int, int, int, int, int, int, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"zoom-cuda","zoom_out_edge_pad(float *, int, int, int, int, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"zoom-cuda","zoom_out_kernel(const float *, float *, int, int, int, int, int, int, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"bwt-cuda","bitonic_sort_step(int *, int, int, int, const char *, int)","CUDA","Bandwidth","Compute",False
"bwt-cuda","reconstruct_sequence(const int *, const char *, char *, int)","CUDA","Bandwidth","Bandwidth",True
"bwt-cuda","generate_table(int *, int, int)","CUDA","Bandwidth","Bandwidth",True
"boxfilter-cuda","col_kernel(const unsigned int *, unsigned int *, unsigned int, unsigned int, int, float)","CUDA","Bandwidth","Bandwidth",True
"boxfilter-cuda","row_kernel(const uchar4 *, unsigned int *, unsigned int, unsigned int, int, int, float, unsigned int)","CUDA","Bandwidth","Bandwidth",True
"heartwall-cuda","hw(int, params_common, const float *, int *, int *, int *, int *, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *, float *)","CUDA","Bandwidth","Compute",False
"hwt1d-cuda","dwtHaar1D(const float *, float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"bincount-cuda","void bincount<int, float, int, 1>(T1 *, const T2 *, T3, T2, T2, T3, T3)","CUDA","Bandwidth","Bandwidth",True
"murmurhash3-cuda","MurmurHash3_x64_128_kernel(const unsigned char *, const unsigned int *, const unsigned int *, unsigned long *, unsigned int)","CUDA","Bandwidth","Compute",False
"particlefilter-cuda","kernel_likelihood(float *, float *, const float *, const float *, int *, const int *, float *, const unsigned char *, float *, int *, float *, int, int, int, int, int, int)","CUDA","Bandwidth","Compute",False
"particlefilter-cuda","kernel_sum(float *, int)","CUDA","Bandwidth","Bandwidth",True
"particlefilter-cuda","kernel_normalize_weights(float *, const float *, float *, float *, int *, int)","CUDA","Bandwidth","Bandwidth",True
"particlefilter-cuda","kernel_find_index(const float *, const float *, const float *, const float *, float *, float *, int)","CUDA","Bandwidth","Bandwidth",True
"bitonic-sort-omp","__omp_offloading_10309_2f04513__Z19ParallelBitonicSortPii_l66","OMP","Bandwidth","Bandwidth",True
"mcpr-omp","__omp_offloading_10309_2fc4b69__Z25compute_probs_unitStridesPKdS0_Pdiiiii_l53","OMP","Bandwidth","Bandwidth",True
"mcpr-omp","__omp_offloading_10309_2fc4b69__Z13compute_probsPKdS0_Pdiiiii_l8","OMP","Bandwidth","Compute",False
"mcpr-omp","__omp_offloading_10309_2fc4b69__Z35compute_probs_unitStrides_sharedMemPKdS0_Pdiiiii_l100","OMP","Bandwidth","Bandwidth",True
"spm-cuda","spm(const float *, int, const unsigned char *, const unsigned char *, int3, int3, unsigned char *, unsigned char *, bool *)","CUDA","Bandwidth","Compute",False
"projectile-cuda","CalculateRange(const Projectile *, Projectile *)","CUDA","Bandwidth","Compute",False
"filter-omp","__omp_offloading_10309_2f06e1e_main_l44","OMP","Bandwidth","Bandwidth",True
"norm2-omp","__omp_offloading_10309_2fc53bf_main_l51","OMP","Bandwidth","Compute",False
"pointwise-cuda","elementWise_fp(int, int, const float *, const float *, const float *, float *, float *, float *, const float *, float *)","CUDA","Bandwidth","Compute",False
"pointwise-cuda","init(float *, int)","CUDA","Bandwidth","Bandwidth",True
"black-scholes-cuda","getOutValOption(const optionInputStruct *, float *, int)","CUDA","Bandwidth","Compute",False
"softmax-omp","__omp_offloading_10309_2fc5cba_main_l52","OMP","Bandwidth","Compute",False
"all-pairs-distance-cuda","k1(const char *, int *)","CUDA","Bandwidth","Bandwidth",True
"all-pairs-distance-cuda","k2(const char *, int *)","CUDA","Bandwidth","Bandwidth",True
"all-pairs-distance-cuda","k3(const char *, int *)","CUDA","Bandwidth","Bandwidth",True
"streamcluster-cuda","compute_cost(const Point_Struct *, const float *, float *, const int *, char *, int, int, long, int)","CUDA","Bandwidth","Compute",False
"crossEntropy-cuda","void loss_bwd<__half, __half>(const T1 *, const T2 *, const T2 *, const long *, const T1 *, const long *, T2 *)","CUDA","Bandwidth","Compute",False
